schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/orchestra,Orchestra,UNKNOWN,2026-09-06T23:02:49.241340Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/studio,Studio,UNKNOWN,2026-09-06T23:02:49.241371Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/bernard,Bernard,UNKNOWN,2026-09-06T23:02:49.241404Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/maingen,Maingen,UNKNOWN,2026-09-06T23:02:49.241434Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/enact,Enact,UNKNOWN,2026-09-06T23:02:49.241446Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/rex-inc,Rex,UNKNOWN,2026-09-06T23:02:49.241459Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/zomma,Zomma,UNKNOWN,2026-09-06T23:02:49.241470Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/nebula-security,Nebula Security,UNKNOWN,2026-09-06T23:02:49.241503Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/palisade,Palisade,UNKNOWN,2026-09-06T23:02:49.241513Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/trope,Trope,UNKNOWN,2026-09-06T23:02:49.241523Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/parasma,Parasma,UNKNOWN,2026-09-06T23:02:49.241555Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/olam-labs,Olam Labs,UNKNOWN,2026-09-06T23:02:49.241588Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/egoist-machines,Egoist Machines,UNKNOWN,2026-09-06T23:02:49.241622Z
